template_id,text,category,sentiment_base,editable,notes
1,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,-0.1,SIM,Template de memes - edite o texto como quiser
2,Quando o pump da RiberCoin é real e você não comprou 😭,memes,-0.1,SIM,Template de memes - edite o texto como quiser
3,BanBan Açaí salvando minha carteira depois do crash 😂,memes,-0.19,SIM,Template de memes - edite o texto como quiser
4,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,-0.06,SIM,Template de memes - edite o texto como quiser
5,POV: você em Ribeirania tentando achar água 💧💧💧,memes,-0.16,SIM,Template de memes - edite o texto como quiser
6,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,-0.01,SIM,Template de memes - edite o texto como quiser
7,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.46,SIM,Template de memes - edite o texto como quiser
8,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.01,SIM,Template de memes - edite o texto como quiser
9,RiberCoin subindo e meu coração também ❤️📈,memes,-0.02,SIM,Template de memes - edite o texto como quiser
10,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.12,SIM,Template de memes - edite o texto como quiser
11,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.09,SIM,Template de memes - edite o texto como quiser
12,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.14,SIM,Template de memes - edite o texto como quiser
13,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.18,SIM,Template de memes - edite o texto como quiser
14,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.09,SIM,Template de memes - edite o texto como quiser
15,Grinch 1 x 0 Espírito Natalino 💔,memes,-0.1,SIM,Template de memes - edite o texto como quiser
16,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.08,SIM,Template de memes - edite o texto como quiser
17,Quando o pump da RiberCoin é real e você não comprou 😭,memes,-0.13,SIM,Template de memes - edite o texto como quiser
18,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.03,SIM,Template de memes - edite o texto como quiser
19,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.06,SIM,Template de memes - edite o texto como quiser
20,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.15,SIM,Template de memes - edite o texto como quiser
21,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.56,SIM,Template de memes - edite o texto como quiser
22,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,-0.02,SIM,Template de memes - edite o texto como quiser
23,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.51,SIM,Template de memes - edite o texto como quiser
24,RiberCoin subindo e meu coração também ❤️📈,memes,0.05,SIM,Template de memes - edite o texto como quiser
25,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,-0.09,SIM,Template de memes - edite o texto como quiser
26,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.58,SIM,Template de memes - edite o texto como quiser
27,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.46,SIM,Template de memes - edite o texto como quiser
28,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,-0.15,SIM,Template de memes - edite o texto como quiser
29,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.29,SIM,Template de memes - edite o texto como quiser
30,Grinch 1 x 0 Espírito Natalino 💔,memes,0.06,SIM,Template de memes - edite o texto como quiser
31,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.39,SIM,Template de memes - edite o texto como quiser
32,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.53,SIM,Template de memes - edite o texto como quiser
33,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.4,SIM,Template de memes - edite o texto como quiser
34,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.05,SIM,Template de memes - edite o texto como quiser
35,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.53,SIM,Template de memes - edite o texto como quiser
